Tanggal&Waktu,Username,Tweet
2022-06-13 10:28:08+00:00,decentrabois,"When chart pattern of market become #NFTart
---
Ketika pola chart market menjadi karya NFT

Art by: @Kreng51

Host:… https://t.co/4EhYCQ8eQz"
2022-06-13 10:28:02+00:00,tanganhands,"RT @OmDennis: Saya selalu melihat NFT art dari kacamata pecinta seni, namun melihat NFT project dari kacamata pelaku startup.

Makanya, say…"
2022-06-13 10:27:05+00:00,HANAZAWA_ma_nft,"RT @tama5_art: MEGAMI Art License project is give us big happiness and new hope!!!!!
thank you hise &amp; liga(´°̥̥̥̥̥̥̥̥ω°̥̥̥̥̥̥̥̥｀)💕 https://…"
2022-06-13 10:26:34+00:00,NFT_scouter_,@ZssBecker 1 kenobi
2022-06-13 10:24:58+00:00,OlimTap,@Tikidy_NFT @AlexanderY08 @apeCezaaaar @CryptoF78522493 TIKIDY FREE MINT
2022-06-13 10:23:58+00:00,AndyETH_NFT,Ayuh gais ayuh https://t.co/ev0kw4a9D2
2022-06-13 10:23:48+00:00,AndyETH_NFT,RT @0xKebi: Korang belum beli? Beli! 👨‍🚀🚀 https://t.co/l2pGIZsqpa
2022-06-13 10:23:38+00:00,irzzwani,@AndyETH_NFT @0xBlockflop Dah lama on notification Syarawi😋
2022-06-13 10:22:42+00:00,pretty_leona1,@kosekai_nft pick me senpai~ 😊
2022-06-13 10:22:32+00:00,JohnnyBoyArt,@Mrym_nft Gm Maryam ☀️
2022-06-13 10:22:31+00:00,pinedegen,@sasha_nft gm mfer
2022-06-13 10:22:29+00:00,terrasvck,"RT @OmDennis: Saya selalu melihat NFT art dari kacamata pecinta seni, namun melihat NFT project dari kacamata pelaku startup.

Makanya, say…"
2022-06-13 10:22:03+00:00,TeamShakeri,"RT @420wealth: Gm #NFTcommunity ⚡️

Tap In 
https://t.co/fQ9vJ8nnPe

#NFTart #NFT #NFTdrop #nftcollector #Crypto #cryptocurrencies #BTC #ET…"
2022-06-13 10:21:58+00:00,NFT_ish,@raven50mm 20mm or below.
2022-06-13 10:21:52+00:00,botSattoNFT,"🚨 CUBIST 2523 SOLD!!! =&gt; PRICE 6,98 S◎L ($191.81 💵) 
RANK M: ⍜1881  RANK HR: N/R  🧹FP: 6,9 S◎L 
📥 OWNER: 2SXDh43mkp… https://t.co/jgQzJCO5ix"
2022-06-13 10:21:46+00:00,botSattoNFT,"🚨 CUBIST 1307 SOLD!!! =&gt; PRICE 6,79 S◎L ($186.59 💵) 
RANK M: ⍜2607  RANK HR: N/R  🧹FP: 6,9 S◎L 
📥 OWNER: 2SXDh43mkp… https://t.co/Pk8Z5mhpty"
2022-06-13 10:21:22+00:00,DeniMarvell4,"@venum_eth @ninja_eagles 0x84914c433Ad8bD5ea72AFCB3f3ae252aF43251eC

#NFTGiveaway #NFTCommunity #NFTdrop"
2022-06-13 10:21:08+00:00,untat_nft,@Cigrr8 @tiqtiq14 tq my man
2022-06-13 10:20:58+00:00,garkuwa_NFT,RT @DrJameelMSadis: Ka auri matar da ta san darajarka da qimarka; wacce take kallon miji a matsayin jagoran rayuwa wanda ya wajaba ayi masa…
2022-06-13 10:20:09+00:00,NFTindonesia_,RT @act_move: Gambar tempel #actmove #sticker #wheatpaste  #nftindonesia #NFTProject  @NFTindonesia_ https://t.co/sEaWHns2oC
2022-06-13 10:19:31+00:00,_youtopia2_NFT,@ramshaleem Ramsha noooooooo
2022-06-13 10:18:35+00:00,azkrawins,@SouthernDeFi @tangled_NFT Siapp
2022-06-13 10:18:19+00:00,PaunaMihai1,"@Tikidy_NFT @laurataifas @CldIoana @SpeedyDX 
Tikidy Free Mint"
2022-06-13 10:17:29+00:00,Ummu_Ikfina,@cloudgemz @DAOMetaplayer @ScrappyPenguins @Apeone_nft @angryalien21 Semoga rezeki aku ya Allah Aamiin
2022-06-13 10:16:05+00:00,PinkBrain_art,@kuchinskaya_nft Gm Aleks❤️💗
2022-06-13 10:16:00+00:00,nftkompas,Kehadiran NFT bisa menjadi alternatif dan juga pelengkap dari instrumen investasi tradisional yang sudah ada.… https://t.co/b94JKLP5vQ
2022-06-13 10:15:53+00:00,TeamShakeri,"RT @botSattoNFT: 🚨 CUBIST 3853 SOLD!!! =&gt; PRICE 7,5 S◎L ($196.88 💵) 
RANK M: ⍜714  RANK HR: 1019  🧹FP: 7,0 S◎L 
📥 OWNER: JYx3Vh2vHbJxrDdD4b…"
2022-06-13 10:15:44+00:00,mayleykim,"RT @CindrumOfficial: Saksikan CINDRUM SHOW : CINDTALK
bersama dengan @prasajadi &amp; @dielamaharanie yang merupakan NFT Artist @metarupa_nft…"
2022-06-13 10:15:03+00:00,MPatterina,"RT @CindrumOfficial: Saksikan CINDRUM SHOW : CINDTALK
bersama dengan @prasajadi &amp; @dielamaharanie yang merupakan NFT Artist @metarupa_nft…"
2022-06-13 10:14:46+00:00,_NovaAuroras,@toothless_NFT Hii tokyoo🥰
2022-06-13 10:14:26+00:00,Mrym_nft,@samin_prdart Gm bb❤️🥰
2022-06-13 10:14:24+00:00,Deraldar,"RT @CindrumOfficial: Saksikan CINDRUM SHOW : CINDTALK
bersama dengan @prasajadi &amp; @dielamaharanie yang merupakan NFT Artist @metarupa_nft…"
2022-06-13 10:13:42+00:00,cnbcindonesia,"Hasil Survei Pengalaman Investasi NFT, Banyak Rugi atau Cuan? https://t.co/TYemzF08Hs"
2022-06-13 10:13:16+00:00,Raraaest,@missufe @FirstClass_NFT Makji https://t.co/VrtRDvWn9Q
2022-06-13 10:12:41+00:00,mr_bowers1980,@lotta_NFT 0xA013655FEb9314134122dfb7204Cf28561490532
2022-06-13 10:11:56+00:00,Remitex12,@MadCats_NFT 0x6AB9a74fADaE36Cab9C667672d286D2c98B8C4a3
2022-06-13 10:11:47+00:00,EberhardtTradi1,"@Tikidy_NFT ALOHA!
TIKIDY FREE MINT!

Discord: Big Jelly Rat | Brawlers 🥊
@AprilHenley9
@1day1nft
@1x1nfts
MAHALO!… https://t.co/xONTk7PcX2"
2022-06-13 10:11:32+00:00,81cro,"RT @darwin_eth: 🎁 #NFTGiveaway 🎁

x1 BOKI ( 3000$ )

🔸 Follow: @M1nxNFT 
🔸 RT &amp; ❤
🔸 Tag 3 Frens 

⏰: 300 RT &amp; ❤️

#NFTCollection #NFTdrop #…"
2022-06-13 10:10:11+00:00,suprizewin1,"@FirstClass_NFT @15lovenft Ijin tag kak
@peachyyy_y @bigwincityx24 @parkwithje"
2022-06-13 10:09:52+00:00,Party_of_Lemons,"Gm @magic_mushies gang!

#nft #NFTCommmunity #sol #Solana #SolanaSummer https://t.co/dlmC0rDuT8"
2022-06-13 10:09:09+00:00,CryptoWeeb30,@notchairmaneth @0xApes_NFT arigatoo gozaimasu senpai :D
2022-06-13 10:09:01+00:00,abstra_art,"""Samurai""
#NFTs https://t.co/SNrUcStZqd"
2022-06-13 10:08:51+00:00,Johnpar13715926,@zarko_sol @nft_yotta TTXFWY6BJJUPuAsUona3SsGdX7TjzmPrHw
2022-06-13 10:08:12+00:00,ggeschulzz,@kruger_lol @Hasbulla_NFT @jairbolsonaro @filgmartin KKAKAKKKKKK A CRIANCA ADUKTA
2022-06-13 10:08:09+00:00,NeWAN_NFT,@ammarhazieq Sakit woooo turun centuu matt
2022-06-13 10:08:06+00:00,rmznscaldcr,"RT @darwin_eth: 🎁 #NFTGiveaway 🎁

x1 BOKI ( 3000$ )

🔸 Follow: @M1nxNFT 
🔸 RT &amp; ❤
🔸 Tag 3 Frens 

⏰: 300 RT &amp; ❤️

#NFTCollection #NFTdrop #…"
2022-06-13 10:07:43+00:00,Johnpar13715926,@keren_eth @nft_yotta TTXFWY6BJJUPuAsUona3SsGdX7TjzmPrHw
2022-06-13 10:06:06+00:00,canseleth,"RT @darwin_eth: 🎁 #NFTGiveaway 🎁

x1 BOKI ( 3000$ )

🔸 Follow: @M1nxNFT 
🔸 RT &amp; ❤
🔸 Tag 3 Frens 

⏰: 300 RT &amp; ❤️

#NFTCollection #NFTdrop #…"
2022-06-13 10:06:05+00:00,TeamShakeri,"RT @botSattoNFT: 🚨 CUBIST 4142 SOLD!!! =&gt; PRICE 7,19 S◎L ($188.74 💵) 
RANK M: ⍜874  RANK HR: 1404  🧹FP: 7,0 S◎L 
📥 OWNER: jutegALHGwWejf4HN…"
